sample_position,catalogue_index,graph6,edges,selection_source,primary_or_replay_search_rank,exact_distance_antimagic_labelings,total_labelings,witness_fraction
1,2099,H?AA@?O,4,primary_edgewise_max,1,362880,362880,1.0
2,2102,H?AA@AO,5,primary_edgewise_max,2,143040,362880,0.3941798941798942
3,28231,H?`@?b?,6,primary_edgewise_max,6,85728,362880,0.23624338624338626
4,3033,H?ABA_o,7,primary_edgewise_max,16,55296,362880,0.1523809523809524
5,3036,H?ABA_w,8,primary_edgewise_max,19,47504,362880,0.13090828924162257
6,79623,H?bB@_W,9,primary_edgewise_max,80,17190,362880,0.047371031746031744
7,79653,H?bB@aW,10,primary_edgewise_max,51,27992,362880,0.07713844797178131
8,158877,HCOcePo,11,primary_edgewise_max,77,30126,362880,0.0830191798941799
9,77367,H?b@bRQ,12,primary_edgewise_max,54,49141,362880,0.13541942239858906
10,121609,H?qa`hi,13,primary_edgewise_max,68,29190,362880,0.08043981481481481
11,179238,HCQe`pg,13,replay_global_max,90,22269,362880,0.06136739417989418
12,179240,HCQe`pk,14,primary_edgewise_max,98,18818,362880,0.051857363315696646
13,178177,HCQeRou,15,primary_edgewise_max,55,39690,362880,0.109375
14,212978,HCY^BbK,16,primary_edgewise_max,63,38608,362880,0.10639329805996472
15,236735,HCpbeif,17,primary_edgewise_max,52,62412,362880,0.17199074074074075
16,225101,HCZbeji,18,primary_edgewise_max,57,45687,362880,0.12590112433862433
17,262251,HEherZs,19,primary_edgewise_max,87,24656,362880,0.06794532627865961
18,267560,HEjf`ze,20,primary_edgewise_max,72,55630,362880,0.1533013668430335
19,225778,HCZbuzu,21,primary_edgewise_max,46,42857,362880,0.11810240299823634
20,273379,HQyurzU,22,primary_edgewise_max,91,20040,362880,0.055224867724867725
21,273965,HQzTvh},23,primary_edgewise_max,52,23676,362880,0.065244708994709
22,274066,HQzVvh},24,primary_edgewise_max,49,26604,362880,0.07331349206349207
23,274392,HUZu~qn,25,primary_edgewise_max,39,37871,362880,0.10436232363315696
24,274363,HUZurz~,26,primary_edgewise_max,41,46600,362880,0.12841710758377425
25,274512,HUZ~vzy,27,primary_edgewise_max,28,66720,362880,0.18386243386243387
26,274600,HUzv^^^,28,primary_edgewise_max,39,63206,362880,0.17417879188712523
27,274321,HTzn~z},29,primary_edgewise_max,32,55456,362880,0.15282186948853616
28,274352,HTz~vz~,30,primary_edgewise_max,31,55900,362880,0.15404541446208111
29,274319,HTnv~~~,31,primary_edgewise_max,12,76464,362880,0.21071428571428572
30,274646,H]y~~~~,32,primary_edgewise_max,10,70080,362880,0.1931216931216931
31,274355,HT~~~~~,33,primary_edgewise_max,5,138960,362880,0.38293650793650796
32,274643,HV~~~~~,34,primary_edgewise_max,3,156960,362880,0.43253968253968256
33,274668,H~~~~~~,36,primary_edgewise_max,1,362880,362880,1.0
