edges,total_graphs,distinct_neighborhood_graphs,repeated_neighborhood_graphs,mean_search_rank,max_search_rank,fallback_count
0,1,0,1,0.000000,0,0
1,1,0,1,0.000000,0,0
2,2,0,2,0.000000,0,0
3,5,0,5,0.000000,0,0
4,11,1,10,1.000000,1,0
5,25,1,24,2.000000,2,0
6,63,6,57,2.500000,6,0
7,148,24,124,2.916667,16,0
8,345,86,259,4.406977,19,0
9,771,265,506,5.079245,80,0
10,1637,724,913,4.167127,51,0
11,3252,1707,1545,4.258348,77,0
12,5995,3583,2412,4.345521,54,0
13,10120,6632,3488,4.194361,68,0
14,15615,10934,4681,4.074995,98,0
15,21933,16092,5841,4.147465,55,0
16,27987,21230,6757,4.172774,63,0
17,32403,25106,7297,4.295188,52,0
18,34040,26725,7315,4.287109,57,0
19,32403,25575,6828,4.287312,87,0
20,27987,22050,5937,4.254739,72,0
21,21933,17123,4810,4.300415,46,0
22,15615,12001,3614,4.428631,91,0
23,10120,7583,2537,4.522221,52,0
24,5995,4347,1648,4.504946,49,0
25,3252,2252,1000,4.540853,39,0
26,1637,1070,567,4.148598,41,0
27,771,470,301,4.374468,28,0
28,345,199,146,4.658291,39,0
29,148,77,71,5.298701,32,0
30,63,31,32,5.548387,31,0
31,25,11,14,5.272727,12,0
32,11,5,6,5.400000,10,0
33,5,2,3,4.000000,5,0
34,2,1,1,3.000000,3,0
35,1,0,1,0.000000,0,0
36,1,1,0,1.000000,1,0
