edges,total_graphs,distinct_neighborhood_graphs,repeated_neighborhood_graphs,mean_search_rank,max_search_rank,fallback_count
0,1,0,1,0.000000,0,0
1,1,0,1,0.000000,0,0
2,2,0,2,0.000000,0,0
3,5,0,5,0.000000,0,0
4,11,1,10,1.000000,1,0
5,25,1,24,5.000000,5,0
6,63,6,57,8.333333,22,1
7,148,24,124,7.500000,42,1
8,345,86,259,5.953488,23,2
9,771,265,506,5.950943,65,6
10,1637,724,913,5.415746,65,18
11,3252,1707,1545,4.722906,51,38
12,5995,3583,2412,4.522467,77,52
13,10120,6632,3488,4.258896,90,73
14,15615,10934,4681,4.262941,58,122
15,21933,16092,5841,4.073826,61,139
16,27987,21230,6757,3.889355,42,158
17,32403,25106,7297,3.760097,80,143
18,34040,26725,7315,3.756333,50,162
19,32403,25575,6828,3.773881,50,161
20,27987,22050,5937,3.650884,53,112
21,21933,17123,4810,3.586755,62,97
22,15615,12001,3614,3.437380,44,66
23,10120,7583,2537,3.560596,53,43
24,5995,4347,1648,3.628709,48,22
25,3252,2252,1000,3.705151,53,10
26,1637,1070,567,3.571963,28,5
27,771,470,301,3.544681,24,5
28,345,199,146,3.618090,23,2
29,148,77,71,3.844156,28,1
30,63,31,32,3.000000,22,1
31,25,11,14,2.636364,6,0
32,11,5,6,1.200000,2,0
33,5,2,3,1.000000,1,0
34,2,1,1,1.000000,1,0
35,1,0,1,0.000000,0,0
36,1,1,0,1.000000,1,0
